Year,Season,n,mean,median,sd,min,max
2019,Summer,12,7.76,8.61,4.57,1.01,15.63
2019,Fall,77,0.84,0.6,0.76,0.1,3.68
2020,Winter,80,0.84,0.69,0.47,0.21,2.21
2020,Spring,37,1.4,1.26,0.92,0.32,3.68
2020,Summer,92,1.62,1.06,1.62,0.22,8.51
2020,Fall,92,0.78,0.59,0.53,0.18,2.42
2021,Winter,90,0.61,0.57,0.29,0.15,1.82
2021,Spring,91,1.32,0.91,1.25,0.36,8.47
2021,Summer,92,3.43,1.59,7.26,0.15,51.45
2021,Fall,92,0.84,0.53,0.79,0.16,3.63
2022,Winter,90,0.77,0.7,0.31,0.22,1.88
2022,Spring,91,3.04,1.54,3.59,0.15,21.08
2022,Summer,92,4.55,2.21,8.52,0.25,78.51
2022,Fall,90,2.45,0.79,4.48,0.22,31.03
2023,Winter,90,0.98,0.78,0.7,0.2,3.73
2023,Spring,91,23.29,2.6,58.93,0.2,394.54
2023,Summer,92,39.7,27.52,42.86,0.72,193.02
2023,Fall,92,4.49,1.2,6.95,0.12,30.71
2024,Winter,91,1.03,0.87,0.74,0.11,3.66
2024,Spring,78,15.67,2.14,54.8,0.24,401.49
2024,Summer,92,32.95,10.83,63.61,0.71,336.91
2024,Fall,92,4.47,2.92,5.26,0.3,31.36
2025,Winter,90,1.39,0.95,1.25,0.17,6.17
2025,Spring,88,5.21,1.1,9.28,0.21,39.23
2025,Summer,92,10.2,3,17.79,0.32,82.08
2025,Fall,92,1.1,0.96,0.54,0.37,3.8
