fire_id,fire_year,acq_date,ignition_doy,sdd_doy,days_after_sdd,n_first_day_hotspots,dist_to_prev_perim_m,nearest_prev_fire_id,ignition_lon,ignition_lat,first_lightning_date_2km,days_lightning_to_hotspot,lightning_flag
2024_G80188,2024.0,2024-04-27,118,94.0,24.0,3,3524.476054912335,2023_G80280,-121.40346,57.149969999999975,,,False
2024_G80270,2024.0,2024-05-11,132,121.81,10.19,1790,19.706637957834907,2023_G83130,-121.70869,58.21944999999998,,,False
2024_G80273,2024.0,2024-05-11,132,103.33,28.67,1,40872.16416593347,2023_G80280,-122.1488,56.69208999999998,,,False
2024_G80286,2024.0,2024-05-11,132,118.52,13.48,258,1.8654349033470115,2023_G90628,-120.14958,58.27793999999999,,,False
2024_G80305,2024.0,2024-05-13,134,82.68,51.32,7,33194.9946584016,2023_G80291,-120.50105000000002,56.58574999999993,,,False
2024_G80549,2024.0,2024-06-21,173,126.02,46.98,11,8263.302456869014,2023_G80280,-121.38229,57.89206,,,False
2024_G81281,2024.0,2024-07-20,202,183.38,18.62,3,80763.26243988708,2023_G80280,-122.95274,56.49949999999998,,,False
2024_G90399,2024.0,2024-05-26,147,150.46,-3.46,4,137.0380258065992,2023_G91534,-120.59688000000001,59.429140000000004,,,False
2024_G90683,2024.0,2024-07-04,186,132.26,53.74,2,781.2766327573296,2023_G90207,-122.89984,59.360289999999964,,,False
2024_G90686,2024.0,2024-07-05,187,131.04,55.96,5,1918.6208890587563,2023_G90288,-121.84164,59.89831999999993,,,False
2024_G90713,2024.0,2024-07-07,189,134.57,54.43,1,2863.5721495869907,2023_G90207,-122.30163,59.10232000000001,,,False
2024_G90741,2024.0,2024-07-08,190,192.15,-2.15,21,0.0,2023_G92947,-127.91462,59.26954000000003,,,False
2024_G90777,2024.0,2024-07-10,192,134.88,57.12,16,52608.41897135926,2023_G90207,-123.86848,59.939510000000034,2024-06-23,17.0,False
2024_G90994,2024.0,2024-07-17,199,142.39,56.61,9,3317.7378108184525,2023_G90207,-122.34067,59.06905999999997,,,False
2024_G91018,2024.0,2024-07-18,200,140.2,59.8,4,109988.87855336165,2023_G91739,-125.55734,59.63510999999997,2024-05-24,55.0,False
2024_G91031,2024.0,2024-07-18,200,180.13,19.87,57,64902.89825387747,2023_G90207,-123.74584,58.71765999999997,,,False
2024_G92348,2024.0,2024-08-20,233,178.07,54.93,384,5673.642733798041,2023_G92947,-127.92841999999999,59.150439999999996,2024-07-10,41.0,False
