fire_id,fire_year,acq_date,ignition_doy,sdd_doy,days_after_sdd,n_first_day_hotspots,dist_to_prev_perim_m,nearest_prev_fire_id,road_dist_m,nearest_road_class,road_flag
2025_G80066,2025.0,2025-05-30,150,126.0,24.0,1,57808.6627969284,2024_G80188,83.8,resource,True
2025_G80320,2025.0,2025-05-10,130,130.86,-0.8600000000000136,7,0.0,2024_G90228,1413.3,resource,False
2025_G80352,2025.0,2025-05-30,150,152.8,-2.8,229,35824.68170628915,2024_G80262,792.8,unclassified,True
2025_G80396,2025.0,2025-05-29,149,138.25,10.75,48,0.0,2024_G80270,440.1,unclassified,True
2025_G80402,2025.0,2025-05-11,131,130.79,0.21000000000000796,10,0.0,2024_G90228,462.6,resource,True
2025_G80403,2025.0,2025-06-10,161,128.86,32.14,2,224.11649765601902,2024_G90228,1284.0,trail,False
2025_G80418,2025.0,2025-05-29,149,90.29,58.71,7,0.0,2024_G80270,17.7,trail,True
2025_G80427,2025.0,2025-06-12,163,132.92,30.08,2,0.0,2024_G90228,1735.8,trail,False
2025_G80473,2025.0,2025-06-03,154,141.29,12.71,7,24561.226633940492,2024_G80854,509.9,unclassified,True
2025_G80476,2025.0,2025-06-03,154,144.8,9.2,16,9012.343855713043,2024_G80286,1157.8,unclassified,False
2025_G80497,2025.0,2025-06-05,156,124.47,31.53,168,16565.96930845522,2024_G80305,150.4,resource,True
2025_G90220,2025.0,2025-05-04,124,109.67,14.33,1,8779.666665648701,2024_G91977,292.8,resource,True
2025_G90386,2025.0,2025-06-09,160,151.0,9.0,1,20230.49796211485,2024_G90228,239.1,resource,True
2025_G90391,2025.0,2025-05-28,148,145.39,2.61,4,1259.1856938637854,2024_G90228,97.4,resource,True
2025_G90397,2025.0,2025-06-01,152,105.67,46.33,1,0.0,2024_G80270,149.8,unclassified,True
2025_G90400,2025.0,2025-06-20,171,150.7,20.3,9,5924.962676870687,2024_G90228,328.3,unclassified,True
2025_G90401,2025.0,2025-05-28,148,134.39,13.61,36,0.0,2024_G90228,2862.7,trail,False
2025_G90406,2025.0,2025-05-29,149,132.36,16.64,3,0.0,2024_G90228,472.9,resource,True
2025_G90407,2025.0,2025-05-10,130,133.39,-3.39,3,62.78848874307465,2024_G90228,935.3,resource,True
2025_G90425,2025.0,2025-05-29,149,138.89,10.11,14,0.0,2024_G80270,3986.6,resource,False
2025_G90428,2025.0,2025-05-11,131,125.05,5.95,3,356.7563213674264,2024_G80286,1477.4,resource,False
2025_G90463,2025.0,2025-06-01,152,147.8,4.2,16,0.0,2024_G91714,275.7,resource,True
2025_G90475,2025.0,2025-06-03,154,140.0,14.0,4,11128.940296215458,2024_G90228,1947.7,resource,False
2025_G90507,2025.0,2025-06-09,160,134.65,25.35,1,0.0,2024_G90228,429.4,resource,True
2025_G90715,2025.0,2025-05-29,149,142.75,6.25,1,163.33189842503106,2024_G90228,10.8,resource,True
