fire_id_2023,sdd_2024,first_acq_date_2024,days_after_sdd_first_2024,n_hotspot_days_2024,n_hotspots_2024,sdd_2025,first_acq_date_2025,days_after_sdd_first_2025,n_hotspot_days_2025,n_hotspots_2025,is_multiyear,days_first_2024_to_2025
2023_G80280,145.85428360092243,2024-06-03,9.145716399077571,10,34,138.87601705608492,2025-05-29,10.123982943915081,1,46,TRUE,360
2023_G80291,105.93966323666979,2024-05-05,20.060336763330213,3,10,NA,NA,NA,NA,NA,FALSE,NA
2023_G83130,124.69642857142857,2024-05-11,7.303571428571431,1,7,151.46428571428572,2025-06-11,10.535714285714278,1,2,TRUE,396
2023_G90207,130.7175641217939,2024-05-06,-3.717564121793913,31,11448,139.64721763911805,2025-05-27,7.352782360881946,31,11199,TRUE,386
2023_G90288,131.25054192317697,2024-07-05,55.74945807682303,5,52,NA,NA,NA,NA,NA,FALSE,NA
2023_G90628,124.26775956284153,2024-05-09,5.732240437158467,10,137,NA,NA,NA,NA,NA,FALSE,NA
2023_G90709,140.6721202003339,2024-05-20,0.3278797996661069,1,1,147.81636060100166,2025-05-26,-1.8163606010016622,2,2,TRUE,371
2023_G90713,136.5,2024-07-10,55.5,1,2,NA,NA,NA,NA,NA,FALSE,NA
2023_G91313,125.47563113604488,2024-05-05,0.5243688639551181,15,193,NA,NA,NA,NA,NA,FALSE,NA
2023_G91467,140.97142857142856,2024-06-03,14.02857142857144,2,5,NA,NA,NA,NA,NA,FALSE,NA
2023_G91494,112.29964539007092,2024-05-11,19.70035460992908,4,58,NA,NA,NA,NA,NA,FALSE,NA
2023_G91534,147.16467780429593,2024-05-24,-2.164677804295934,18,305,141.46897374701672,2025-06-18,27.53102625298328,3,14,TRUE,390
2023_G91739,134.52310042000764,2024-05-09,-4.523100420007637,15,1015,NA,NA,NA,NA,NA,FALSE,NA
2023_G92498,139.8426627748223,2024-05-15,-3.842662774822287,23,1178,141.58156395649922,2025-05-28,6.418436043500776,16,220,TRUE,378
2023_G92940,157.11421365519726,2024-06-03,-2.1142136551972612,18,273,144.2379751396145,2025-05-29,4.762024860385509,1,23,TRUE,360
2023_G92947,171.20201005025126,2024-07-08,18.79798994974874,6,84,NA,NA,NA,NA,NA,FALSE,NA
2023_G93291,151.6276150627615,2024-07-10,40.37238493723851,1,1,NA,NA,NA,NA,NA,FALSE,NA
