fire_id,fire_zone,sdd_2025_mean
2025_G80066,Fort St. John Fire Zone,126.0
2025_G80085,Fort St. John Fire Zone,167.25
2025_G80141,Fort St. John Fire Zone,121.45
2025_G80203,Fort St. John Fire Zone,126.0
2025_G80204,Fort St. John Fire Zone,83.25
2025_G80287,Fort St. John Fire Zone,117.0
2025_G80320,both,130.86
2025_G80352,both,152.8
2025_G80355,Fort St. John Fire Zone,101.0
2025_G80395,Fort St. John Fire Zone,135.67
2025_G80396,Fort St. John Fire Zone,138.25
2025_G80402,both,130.79
2025_G80403,Fort St. John Fire Zone,128.86
2025_G80410,Fort St. John Fire Zone,126.0
2025_G80415,Fort St. John Fire Zone,126.0
2025_G80418,Fort St. John Fire Zone,90.29
2025_G80427,Fort St. John Fire Zone,132.92
2025_G80429,Fort St. John Fire Zone,130.38
2025_G80430,Fort St. John Fire Zone,130.75
2025_G80441,Fort St. John Fire Zone,103.0
2025_G80473,Fort St. John Fire Zone,141.29
2025_G80476,Fort St. John Fire Zone,144.8
2025_G80497,Fort St. John Fire Zone,124.47
2025_G80550,Fort St. John Fire Zone,126.0
2025_G82044,Fort St. John Fire Zone,123.0
2025_G82182,Fort St. John Fire Zone,59.62
2025_G82194,Fort St. John Fire Zone,123.0
2025_G90216,Fort Nelson Fire Zone,144.3
2025_G90220,Fort Nelson Fire Zone,109.67
2025_G90243,Fort Nelson Fire Zone,141.25
2025_G90252,Fort Nelson Fire Zone,137.0
2025_G90302,Fort Nelson Fire Zone,143.75
2025_G90303,Fort Nelson Fire Zone,141.67
2025_G90304,Fort Nelson Fire Zone,146.18
2025_G90322,Fort Nelson Fire Zone,141.0
2025_G90324,Fort Nelson Fire Zone,72.5
2025_G90338,Fort Nelson Fire Zone,142.0
2025_G90351,Fort Nelson Fire Zone,137.22
2025_G90360,Fort Nelson Fire Zone,136.0
2025_G90382,Fort Nelson Fire Zone,137.98
2025_G90386,Fort Nelson Fire Zone,151.0
2025_G90391,Fort Nelson Fire Zone,145.39
2025_G90397,Fort Nelson Fire Zone,105.67
2025_G90400,Fort Nelson Fire Zone,150.7
2025_G90401,Fort Nelson Fire Zone,134.39
2025_G90406,both,132.36
2025_G90407,Fort Nelson Fire Zone,133.39
2025_G90413,Fort Nelson Fire Zone,181.17
2025_G90420,Fort Nelson Fire Zone,141.5
2025_G90421,Fort Nelson Fire Zone,153.21
2025_G90425,both,138.89
2025_G90428,Fort Nelson Fire Zone,125.05
2025_G90446,Fort Nelson Fire Zone,145.33
2025_G90461,Fort Nelson Fire Zone,82.75
2025_G90463,Fort Nelson Fire Zone,147.8
2025_G90475,Fort Nelson Fire Zone,140.0
2025_G90507,Fort Nelson Fire Zone,134.65
2025_G90569,Fort Nelson Fire Zone,82.0
2025_G90711,Fort Nelson Fire Zone,135.33
2025_G90714,Fort Nelson Fire Zone,142.0
2025_G90715,Fort Nelson Fire Zone,142.75
2025_G90775,Fort Nelson Fire Zone,142.0
2025_G90881,Fort Nelson Fire Zone,127.0
2025_G90947,Fort Nelson Fire Zone,147.0
