fire_id,fire_year,fire_zone,buffer_dist,spring_year,sdd_doy,sdd_max_doy,n_fall_hotspots,n_spring_hotspots,n_spring_near_perim,has_fall_hotspots,has_spring_hotspots,has_spring_near_perim,overwintered,linked_perim_id,first_spring_dist_to_perim,last_fall_date,last_fall_lat,last_fall_lon,first_spring_date,first_spring_lat,first_spring_lon,dormancy_days,days_after_sdd,exclusion_reason,flag_near_lightning,flag_near_infrastructure,lightning_date,lightning_days_before,linked_perim_cause
2023_G80035,2023,Fort St. John Fire Zone,500,2024,80.54166666666667,130.54166666666669,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80052,2023,Fort St. John Fire Zone,500,2024,89.875,139.875,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80053,2023,Fort St. John Fire Zone,500,2024,82.0,132.0,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80076,2023,Fort St. John Fire Zone,500,2024,80.33333333333333,130.33333333333331,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80117,2023,Fort St. John Fire Zone,500,2024,94.0909090909091,144.0909090909091,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80120,2023,Fort St. John Fire Zone,500,2024,83.3529411764706,133.3529411764706,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80121,2023,Fort St. John Fire Zone,500,2024,82.0,132.0,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80122,2023,Fort St. John Fire Zone,500,2024,88.36363636363636,138.36363636363637,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80123,2023,Fort St. John Fire Zone,500,2024,84.22222222222223,134.22222222222223,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80164,2023,Fort St. John Fire Zone,500,2024,83.26666666666667,133.26666666666665,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80173,2023,Fort St. John Fire Zone,500,2024,113.0,163.0,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80175,2023,Fort St. John Fire Zone,500,2024,95.78823529411764,145.78823529411764,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80190,2023,Fort St. John Fire Zone,500,2024,88.26470588235294,138.26470588235293,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80220,2023,Fort St. John Fire Zone,500,2024,95.98170731707317,145.9817073170732,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80223,2023,Fort St. John Fire Zone,500,2024,98.36417910447761,148.3641791044776,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80227,2023,Fort St. John Fire Zone,500,2024,82.44444444444444,132.44444444444446,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80245,2023,Fort St. John Fire Zone,500,2024,78.71428571428571,128.71428571428572,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80280,2023,both,500,2024,145.61419845201854,195.61419845201854,7596,16,0,True,True,False,False,,,2023-12-14,57.10903,-121.83142,,,,,,,,,,,
2023_G80291,2023,Fort St. John Fire Zone,500,2024,108.26125776397515,158.26125776397515,458,9,0,True,True,False,False,,,2023-10-13,56.58323,-121.25278,,,,,,,,,,,
2023_G80561,2023,Fort St. John Fire Zone,500,2024,14.88888888888889,64.88888888888889,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80641,2023,Fort St. John Fire Zone,500,2024,112.33333333333333,162.33333333333331,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80839,2023,Fort St. John Fire Zone,500,2024,126.26829268292683,176.2682926829268,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80864,2023,Fort St. John Fire Zone,500,2024,112.125,162.125,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80867,2023,Fort St. John Fire Zone,500,2024,104.66666666666667,154.66666666666669,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80875,2023,Fort St. John Fire Zone,500,2024,119.69427710843374,169.69427710843374,247,0,0,True,False,False,False,,,2023-09-23,57.17545,-120.84833,,,,,,,,,,,
2023_G80913,2023,Fort St. John Fire Zone,500,2024,80.625,130.625,1,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G81004,2023,Fort St. John Fire Zone,500,2024,109.44444444444444,159.44444444444446,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G81492,2023,Fort St. John Fire Zone,500,2024,142.84615384615384,192.84615384615384,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G81530,2023,Fort St. John Fire Zone,500,2024,141.0,191.0,630,0,0,True,False,False,False,,,2023-09-23,57.44636,-120.13947,,,,,,,,,,,
2023_G81720,2023,Fort St. John Fire Zone,500,2024,109.0909090909091,159.0909090909091,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G81730,2023,Fort St. John Fire Zone,500,2024,93.24,143.24,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G81742,2023,Fort St. John Fire Zone,500,2024,84.4,134.4,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G81934,2023,Fort St. John Fire Zone,500,2024,115.66666666666667,165.66666666666669,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G82220,2023,Fort St. John Fire Zone,500,2024,97.4,147.4,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G82494,2023,Fort St. John Fire Zone,500,2024,112.6923076923077,162.69230769230768,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G82711,2023,Fort St. John Fire Zone,500,2024,92.23076923076923,142.23076923076923,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G83130,2023,both,500,2024,122.05426356589147,172.05426356589146,169,1,1,True,True,True,False,2024_G80270,0.0,2023-09-24,58.21033,-121.72032,2024-05-30,58.23045,-121.77428,249.0,28.945736434108525,lightning_strike,True,,2024-05-26 18:00:00,3.0,Lightning
2023_G90207,2023,Fort Nelson Fire Zone,500,2024,130.30534397291743,180.30534397291743,914,1361,0,True,True,False,False,,,2023-11-02,59.31672,-123.25378,,,,,,,,,,,
2023_G90259,2023,Fort Nelson Fire Zone,500,2024,194.66666666666666,244.66666666666666,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G90266,2023,Fort Nelson Fire Zone,500,2024,89.0,139.0,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G90273,2023,both,500,2024,151.83623336745137,201.83623336745137,444,0,0,True,False,False,False,,,2023-09-23,58.01761,-121.84055,,,,,,,,,,,
2023_G90288,2023,Fort Nelson Fire Zone,500,2024,130.47111008254262,180.47111008254262,7454,0,0,True,False,False,False,,,2023-09-23,59.53164,-120.35718,,,,,,,,,,,
2023_G90292,2023,Fort Nelson Fire Zone,500,2024,153.41372351160445,203.41372351160445,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G90565,2023,Fort Nelson Fire Zone,500,2024,109.0,159.0,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G90628,2023,both,500,2024,122.38103540772532,172.38103540772534,17737,3,3,True,True,True,True,2024_G90228,0.0,2023-10-20,58.18569,-120.25383,2024-06-20,58.47015,-120.50297,244.0,49.61896459227468,,False,,2024-01-01 00:00:00,171.0,Lightning
2023_G90709,2023,Fort Nelson Fire Zone,500,2024,140.0726082004556,190.0726082004556,0,1,0,False,True,False,False,,,,,,,,,,,,,,,,
2023_G90776,2023,Fort Nelson Fire Zone,500,2024,208.15,258.15,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G90810,2023,Fort Nelson Fire Zone,500,2024,157.74137931034483,207.74137931034483,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G90841,2023,Fort Nelson Fire Zone,500,2024,128.2173913043478,178.2173913043478,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G90949,2023,Fort Nelson Fire Zone,500,2024,144.37842778793419,194.37842778793419,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G90956,2023,Fort Nelson Fire Zone,500,2024,137.7422680412371,187.7422680412371,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G90980,2023,Fort Nelson Fire Zone,500,2024,50.25,100.25,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G90981,2023,Fort Nelson Fire Zone,500,2024,110.1248821866164,160.1248821866164,263,0,0,True,False,False,False,,,2023-09-22,59.07398,-127.57602,,,,,,,,,,,
2023_G91013,2023,Fort Nelson Fire Zone,500,2024,143.3063063063063,193.3063063063063,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G91021,2023,Fort Nelson Fire Zone,500,2024,191.33333333333334,241.33333333333334,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G91133,2023,Fort Nelson Fire Zone,500,2024,140.5,190.5,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G91313,2023,Fort Nelson Fire Zone,500,2024,125.73799401669028,175.73799401669027,11642,99,97,True,True,True,True,2024_G90228,0.0,2023-09-25,58.3854,-121.57749,2024-05-17,58.76271,-121.57191,235.0,12.26200598330972,,False,,2024-05-26 18:00:00,-10.0,Lightning
2023_G91355,2023,Fort Nelson Fire Zone,500,2024,142.38095238095238,192.38095238095238,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
